Type,Hue,Saturation,Value
Ocean,108.0,252.0,142.0
Ocean,108.0,252.0,142.0
Ocean,108.0,243.0,108.0
Ocean,109.0,255.0,155.0
Ocean,109.0,252.0,138.0
Ocean,109.0,255.0,153.0
Ocean,108.0,255.0,160.0
Ocean,108.0,255.0,156.0
Ocean,108.0,253.0,138.0
Ocean,109.0,253.0,128.0
Ocean,109.0,253.0,124.0
Ocean,109.0,253.0,132.0
Ocean,108.0,248.0,130.0
Ocean,108.0,254.0,156.0
Ocean,107.0,251.0,151.0
Ocean,108.0,253.0,161.0
Ocean,108.0,254.0,168.0
Ocean,108.0,255.0,170.0
Ocean,107.0,254.0,172.0
Ocean,108.0,251.0,144.0
Ocean,109.0,253.0,162.0
Ocean,108.0,245.0,130.0
Ocean,108.0,249.0,128.0
Ocean,109.0,253.0,162.0
Ocean,108.0,243.0,134.0
Ocean,109.0,253.0,124.0
Ocean,108.0,249.0,131.0
Ocean,108.0,254.0,156.0
Ocean,107.0,251.0,150.0
Ocean,108.0,253.0,161.0
Ocean,108.0,255.0,168.0
Ocean,108.0,255.0,170.0
Ocean,107.0,252.0,167.0
Ocean,108.0,246.0,127.0
Ocean,108.0,255.0,170.0
Ocean,108.0,251.0,157.0
Ocean,108.0,255.0,172.0
Ocean,108.0,251.0,151.0
Ocean,109.0,253.0,162.0
Ocean,108.0,241.0,131.0
Ocean,108.0,248.0,132.0
Ocean,108.0,254.0,164.0
Ocean,108.0,244.0,133.0
Ocean,109.0,253.0,138.0
Ocean,107.0,246.0,147.0
Ocean,108.0,249.0,144.0
Ocean,108.0,250.0,150.0
Ocean,107.0,254.0,181.0
Ocean,106.0,245.0,119.0
Ocean,107.0,253.0,151.0
Ocean,107.0,253.0,153.0
Ocean,106.0,250.0,136.0
Ocean,106.0,253.0,153.0
Ocean,106.0,255.0,154.0
Ocean,107.0,253.0,154.0
Ocean,107.0,248.0,124.0
Ocean,108.0,253.0,141.0
Ocean,106.0,252.0,150.0
Ocean,107.0,249.0,133.0
Ocean,108.0,253.0,140.0
Ocean,26.0,42.0,109.0
Ocean,107.0,248.0,125.0
Ocean,106.0,252.0,162.0
Ocean,106.0,253.0,163.0
Ocean,106.0,253.0,167.0
Ocean,106.0,254.0,169.0
Ocean,106.0,254.0,170.0
Ocean,106.0,242.0,132.0
Ocean,106.0,249.0,149.0
Ocean,106.0,246.0,138.0
Ocean,106.0,254.0,172.0
Ocean,106.0,241.0,131.0
Ocean,106.0,250.0,157.0
Ocean,106.0,250.0,164.0
Ocean,106.0,248.0,159.0
Ocean,106.0,252.0,168.0
Ocean,105.0,248.0,159.0
Ocean,106.0,236.0,142.0
Swamp,23.0,127.0,114.0
Swamp,23.0,132.0,116.0
Swamp,26.0,70.0,115.0
Swamp,23.0,131.0,103.0
